NISN,Kehadiran,Nilai_Rata,Jumlah_Pelanggaran,Penghasilan_Ortu,Status
1433768154,48.0,47.6,6,1,DO-Nilai
1408830029,90.8,74.8,6,3,Non-Dropout
1214829375,87.3,66.6,4,4,Non-Dropout
1643642838,77.2,65.8,3,4,Non-Dropout
1191987535,87.7,75.6,3,3,Non-Dropout
1247242720,78.1,95.0,0,4,Non-Dropout
1266751099,49.9,67.5,6,2,DO-Nilai
1143070080,69.4,59.5,10,1,DO-Masalah
1815912190,70.4,60.1,0,2,Non-Dropout
1092962935,61.4,60.1,5,4,DO-Nilai
1269671339,48.0,62.5,11,1,DO-Nilai
1782791100,77.5,72.1,6,4,Non-Dropout
1411315681,60.5,49.0,5,1,DO-Nilai
1569955692,71.0,54.9,15,2,DO-Masalah
1734770807,82.8,66.2,0,4,Non-Dropout
1752143475,79.9,62.5,5,2,DO-Nilai
1578348630,53.8,50.2,1,1,DO-Nilai
1096460984,90.4,75.4,8,3,Non-Dropout
1669928629,53.7,95.0,5,1,Non-Dropout
1525354986,79.6,91.4,10,4,Non-Dropout
1214177266,84.7,95.0,6,1,Non-Dropout
1452731736,57.9,55.6,13,1,DO-Masalah
1775483847,61.3,71.5,15,1,DO-Masalah
1658435728,74.9,83.5,5,3,Non-Dropout
1631797387,69.3,38.0,4,1,DO-Nilai
1232671596,75.2,74.6,2,3,Non-Dropout
1851062813,57.9,46.0,6,1,DO-Nilai
1968514385,59.0,38.7,0,2,DO-Nilai
1846447971,72.4,73.9,3,2,Non-Dropout
1401557731,64.9,45.8,3,4,DO-Nilai
1882965198,74.6,71.5,10,1,DO-Masalah
1416731920,97.0,83.7,7,2,Non-Dropout
1925020206,62.5,65.5,16,1,DO-Masalah
1732687937,59.2,68.8,3,4,DO-Nilai
1228267699,48.0,62.5,2,3,DO-Nilai
1163505683,85.5,71.2,1,3,Non-Dropout
1495513911,58.9,46.0,1,1,DO-Nilai
1709279383,83.2,70.6,0,3,Non-Dropout
1192200818,67.2,72.3,3,4,Non-Dropout
1912645326,69.6,86.8,1,2,Non-Dropout
1608720353,71.2,76.8,4,2,Non-Dropout
1363790962,54.8,60.3,10,1,DO-Nilai
1089083535,70.8,45.2,0,2,DO-Nilai
1769529290,77.3,88.1,5,2,Non-Dropout
1567704660,99.0,70.2,2,4,Non-Dropout
1727328574,92.1,95.0,1,1,Non-Dropout
1831584660,84.8,92.0,3,1,Non-Dropout
1094276916,94.8,62.8,3,4,Non-Dropout
1503626844,48.0,73.1,5,1,DO-Nilai
1339709088,84.1,90.8,9,4,Non-Dropout
1432312868,68.0,48.7,9,1,DO-Nilai
1045796670,48.0,56.6,2,1,DO-Nilai
1289265203,65.6,54.3,13,2,DO-Masalah
1599096333,97.0,78.9,3,3,Non-Dropout
1008181695,86.4,79.1,9,4,Non-Dropout
1456561458,71.2,92.3,0,4,Non-Dropout
1218790375,92.6,76.3,1,3,Non-Dropout
1389265181,77.5,55.6,16,3,DO-Masalah
1573711028,91.7,70.4,1,3,Non-Dropout
1086775979,77.2,88.7,1,2,Non-Dropout
1496161798,62.7,78.4,2,3,Non-Dropout
1556901540,56.1,48.3,6,1,DO-Nilai
1966627772,68.3,39.0,5,2,DO-Nilai
1212686669,50.6,63.0,5,1,DO-Nilai
1650160475,79.9,95.0,5,3,Non-Dropout
1496820825,99.0,77.8,2,2,Non-Dropout
1055102070,99.0,71.3,13,1,DO-Masalah
1383889467,82.7,70.4,4,3,Non-Dropout
1138662723,82.6,85.0,1,3,Non-Dropout
1231738505,84.2,78.6,1,3,Non-Dropout
1988663059,66.2,54.4,13,2,DO-Masalah
1767880497,65.0,72.6,4,1,DO-Nilai
1172670524,58.2,70.3,13,2,DO-Masalah
1802630928,99.0,67.9,3,4,Non-Dropout
1850230769,64.7,73.8,8,4,Non-Dropout
1474287460,61.2,80.2,6,4,Non-Dropout
1639324688,76.1,84.1,4,1,DO-Nilai
1993046871,99.0,77.8,3,2,Non-Dropout
1190723858,86.0,78.2,1,4,Non-Dropout
1540301995,57.6,84.7,0,2,Non-Dropout
1708991357,79.4,78.5,3,3,Non-Dropout
1189003190,88.6,86.0,1,4,Non-Dropout
1039795203,76.9,67.3,5,2,Non-Dropout
1117888716,63.0,41.6,4,2,DO-Nilai
1025022318,77.9,72.2,4,2,Non-Dropout
1183810887,52.2,65.4,5,1,DO-Nilai
1508660365,82.1,67.9,4,2,Non-Dropout
1734294137,92.2,95.0,0,2,Non-Dropout
1880111883,83.0,95.0,3,4,Non-Dropout
1449922637,56.5,48.7,14,2,DO-Masalah
1087145047,80.9,44.0,1,4,Non-Dropout
1456791494,60.3,66.7,4,3,DO-Nilai
1678620616,61.2,38.0,6,1,DO-Nilai
1092362080,67.5,92.0,7,3,Non-Dropout
1153450117,64.8,59.7,6,1,DO-Nilai
1332652652,78.0,76.7,0,1,Non-Dropout
1662918409,69.7,87.8,5,2,Non-Dropout
1006085911,59.7,68.6,16,1,DO-Masalah
1409161680,86.3,81.1,3,4,Non-Dropout
1354010198,72.0,86.6,2,4,Non-Dropout
1145831443,63.2,61.4,5,1,DO-Nilai
1561998705,73.9,58.5,0,1,DO-Nilai
1435220095,80.5,85.1,9,2,Non-Dropout
1215601357,73.9,61.6,0,3,Non-Dropout
1966335584,65.9,87.0,18,2,DO-Masalah
1845266599,84.3,69.1,1,2,Non-Dropout
1059485194,71.9,85.2,1,3,Non-Dropout
1687660419,57.9,53.5,5,1,DO-Nilai
1227026799,48.0,53.9,0,3,DO-Nilai
1475638397,88.6,63.2,5,3,Non-Dropout
1276570743,69.2,64.1,16,2,DO-Masalah
1585694944,68.3,44.5,7,1,DO-Nilai
1433864350,54.0,38.0,6,1,DO-Nilai
1885980680,65.4,48.7,8,2,DO-Nilai
1820118560,64.2,67.4,1,4,Non-Dropout
1135668245,80.1,78.1,10,2,DO-Masalah
1379899005,88.5,90.3,4,3,Non-Dropout
1746249394,85.5,70.1,1,3,Non-Dropout
1511255049,80.4,81.4,7,4,Non-Dropout
1990204058,48.0,65.9,9,3,DO-Nilai
1059933789,89.5,79.8,2,3,Non-Dropout
1140581735,89.1,74.2,0,4,Non-Dropout
1793016403,48.0,40.1,0,1,DO-Nilai
1927637183,75.8,55.1,14,1,DO-Masalah
1771337017,57.8,55.3,2,1,DO-Nilai
1643888646,60.3,39.3,4,2,DO-Nilai
1836382635,65.8,72.5,5,4,Non-Dropout
1802322773,77.4,74.0,3,2,Non-Dropout
1161533746,82.2,93.3,5,3,Non-Dropout
1652872139,75.0,38.0,0,2,DO-Nilai
1438408208,77.2,61.0,0,4,Non-Dropout
1133537997,76.5,65.6,4,4,Non-Dropout
1103598103,82.0,74.3,1,3,Non-Dropout
1127469017,90.9,85.8,5,3,Non-Dropout
1154256338,74.2,67.6,4,4,Non-Dropout
1317799464,64.4,95.0,3,4,Non-Dropout
1186976105,68.7,74.8,5,4,Non-Dropout
1190745412,55.7,38.0,6,2,DO-Nilai
1440099464,75.7,77.2,1,3,Non-Dropout
1156241727,85.2,67.3,15,1,DO-Masalah
1992281215,66.4,66.6,6,2,Non-Dropout
1222886595,85.1,67.8,2,4,Non-Dropout
1945355251,64.6,64.9,11,2,DO-Masalah
1602332368,82.0,95.0,0,4,Non-Dropout
1342637958,73.6,57.3,0,1,DO-Nilai
1827390181,82.6,69.6,13,1,DO-Masalah
1535940550,81.5,87.1,4,3,Non-Dropout
1856809041,50.9,55.3,3,1,DO-Nilai
1251154712,70.6,61.4,5,3,Non-Dropout
1908520254,85.4,77.2,3,4,Non-Dropout
1276594444,90.9,86.7,1,4,Non-Dropout
1125856787,91.8,79.7,0,4,Non-Dropout
1921126706,94.9,61.1,6,2,Non-Dropout
1882989938,87.9,92.6,0,4,Non-Dropout
1388375204,50.3,48.6,1,2,DO-Nilai
1199664370,83.9,54.9,5,2,DO-Nilai
1728345556,78.9,90.4,0,2,Non-Dropout
1077727571,53.2,38.0,4,1,DO-Nilai
1538194670,64.3,57.4,9,1,DO-Nilai
1308930863,78.4,51.1,2,3,Non-Dropout
1011970604,74.8,86.1,12,1,DO-Masalah
1628882569,54.2,42.6,2,1,DO-Nilai
1893947574,94.7,75.9,0,2,Non-Dropout
1051193482,50.2,75.8,6,1,DO-Nilai
1362318017,53.7,54.7,0,1,DO-Nilai
1232274150,72.3,68.5,3,3,Non-Dropout
1404773040,75.0,95.0,3,3,Non-Dropout
1428531261,81.7,71.1,4,3,Non-Dropout
1361586830,80.4,80.9,3,3,Non-Dropout
1883009961,63.6,61.7,3,2,DO-Nilai
1872277776,89.2,93.2,4,3,Non-Dropout
1428863358,67.8,63.9,13,1,DO-Masalah
1414399900,74.3,79.9,0,4,Non-Dropout
1444599129,70.9,52.3,10,1,DO-Nilai
1873691498,70.5,54.1,8,1,Non-Dropout
1398333113,98.7,90.3,5,3,Non-Dropout
1573773156,75.1,43.2,6,3,DO-Nilai
1099497546,82.5,72.3,11,1,DO-Masalah
1194589339,68.5,81.7,5,3,Non-Dropout
1944429342,89.9,60.7,6,3,Non-Dropout
1040364641,55.5,77.7,0,4,Non-Dropout
1991102530,74.0,71.2,0,3,Non-Dropout
1400500978,48.0,39.0,1,1,DO-Nilai
1774876536,90.0,65.9,2,3,Non-Dropout
1920348623,84.0,83.1,3,4,Non-Dropout
1427971903,63.0,48.3,3,1,DO-Nilai
1827663415,85.1,70.9,3,3,Non-Dropout
1476713223,86.4,72.1,3,3,Non-Dropout
1247185889,55.5,54.8,13,1,DO-Masalah
1334383347,59.2,43.3,5,1,DO-Nilai
1916526732,75.3,58.8,0,2,Non-Dropout
1702585862,99.0,81.4,4,4,Non-Dropout
1242714866,48.0,46.1,8,2,DO-Nilai
1701543876,82.5,57.1,2,3,Non-Dropout
1773058422,76.1,95.0,3,3,Non-Dropout
1333564785,79.5,81.9,4,3,Non-Dropout
1113546818,75.4,95.0,6,3,Non-Dropout
1938697478,72.1,57.4,7,2,Non-Dropout
1738607354,78.0,79.0,0,3,Non-Dropout
1773872838,73.3,84.9,4,2,Non-Dropout
1337082860,93.4,70.9,4,3,Non-Dropout
1234724214,72.8,56.9,16,3,DO-Masalah
1820331532,68.5,82.2,2,3,Non-Dropout
1868951229,99.0,90.0,2,4,Non-Dropout
1764016853,93.4,95.0,1,3,Non-Dropout
1724020624,80.7,75.9,3,2,Non-Dropout
1764091799,72.6,52.5,6,2,DO-Nilai
1268135428,68.9,88.1,5,3,Non-Dropout
1411838588,90.5,85.3,5,4,Non-Dropout
1318232102,68.0,85.3,3,4,Non-Dropout
1470433529,67.5,54.2,4,1,DO-Nilai
1806923689,84.4,89.9,0,4,Non-Dropout
1086035805,81.7,51.7,4,1,Non-Dropout
1947601214,66.8,42.8,8,1,DO-Nilai
1470101183,51.6,50.2,0,3,Non-Dropout
1452162517,86.8,70.4,3,3,Non-Dropout
1974589640,88.2,57.3,7,4,Non-Dropout
1275106124,65.7,49.1,8,3,Non-Dropout
1074814722,57.9,58.5,5,2,DO-Nilai
1540253909,99.0,95.0,4,4,Non-Dropout
1314638337,55.9,50.1,2,1,DO-Nilai
1974104648,80.2,79.4,3,3,Non-Dropout
1735306774,56.8,71.9,6,2,DO-Nilai
1939087138,84.5,68.1,0,4,Non-Dropout
1344237057,84.9,85.2,2,1,Non-Dropout
1846327773,48.0,40.4,3,2,DO-Nilai
1512280495,83.9,66.6,16,1,DO-Masalah
1572566520,75.1,78.4,4,3,Non-Dropout
1136666310,48.8,60.2,7,2,DO-Nilai
1998398165,87.8,82.7,4,4,Non-Dropout
1962087014,70.8,76.0,10,3,DO-Masalah
1275775295,66.1,63.6,4,3,Non-Dropout
1462698901,76.0,93.5,7,1,Non-Dropout
1946588108,86.1,71.7,5,4,Non-Dropout
1312332550,85.1,87.8,2,3,Non-Dropout
1439517380,62.0,54.2,6,3,DO-Nilai
1706755577,81.4,57.9,14,1,DO-Masalah
1887253879,93.7,78.3,0,2,Non-Dropout
1656060163,99.0,62.5,4,3,Non-Dropout
1171175729,53.7,68.8,10,2,DO-Masalah
1303107498,88.7,81.1,2,1,Non-Dropout
1406903798,85.8,74.6,10,1,DO-Masalah
1728257273,82.5,95.0,1,3,Non-Dropout
1728373014,83.9,90.6,6,3,Non-Dropout
1648836906,58.7,86.0,4,3,Non-Dropout
1926324333,75.8,71.1,3,2,Non-Dropout
1664283641,73.9,93.8,0,4,Non-Dropout
1715951395,84.6,84.1,0,3,Non-Dropout
1767538273,58.8,66.7,5,2,DO-Nilai
1472503860,85.0,87.8,6,3,Non-Dropout
1208812623,82.5,65.0,3,2,Non-Dropout
1407833486,59.3,43.2,4,1,DO-Nilai
1361686796,59.1,79.1,0,4,Non-Dropout
1952925309,88.1,81.1,1,4,Non-Dropout
1212232560,56.2,43.6,9,1,DO-Nilai
1370851735,91.0,63.8,4,4,Non-Dropout
1004629241,66.1,67.2,7,1,Non-Dropout
1716251629,65.8,75.8,13,1,DO-Masalah
1381488869,75.1,95.0,2,3,Non-Dropout
1745539206,84.3,79.1,6,1,Non-Dropout
1317184708,89.7,51.6,0,2,Non-Dropout
1913170040,74.4,81.4,7,2,Non-Dropout
1207529540,48.6,74.1,17,1,DO-Masalah
1957057181,80.0,68.2,5,4,Non-Dropout
1714050576,96.7,95.0,2,4,Non-Dropout
1717062862,72.3,76.4,4,3,Non-Dropout
1184317263,79.6,79.6,6,4,Non-Dropout
1847711144,50.3,62.1,16,1,DO-Masalah
1687263899,67.7,81.3,3,3,Non-Dropout
1280228515,74.5,89.0,0,4,Non-Dropout
1705627252,91.7,79.4,4,3,Non-Dropout
1447441875,89.1,60.1,2,4,Non-Dropout
1797807502,52.3,40.2,10,1,DO-Nilai
1808152652,77.4,57.2,13,2,DO-Masalah
1930156643,85.4,93.9,3,3,Non-Dropout
1758340961,48.0,65.8,0,1,DO-Nilai
1248288412,88.5,56.3,4,2,Non-Dropout
1438350634,69.3,64.3,6,4,Non-Dropout
1923960641,63.2,53.6,8,1,DO-Nilai
1925299589,82.8,68.6,14,1,DO-Masalah
1371016842,85.8,77.1,17,1,DO-Masalah
1704971990,58.8,48.0,6,2,DO-Nilai
1429390026,58.8,60.2,7,2,DO-Nilai
1003885085,97.3,95.0,1,3,Non-Dropout
1120615733,80.7,73.6,3,4,Non-Dropout
1538649294,55.9,38.0,2,2,DO-Nilai
1570960537,75.4,86.5,2,1,Non-Dropout
1217430468,75.1,81.0,2,4,Non-Dropout
1001387774,75.8,77.2,12,1,DO-Masalah
1560600754,73.1,60.4,0,1,Non-Dropout
1333434189,72.8,81.1,11,1,DO-Masalah
1721877182,72.9,90.9,1,2,Non-Dropout
1802670151,68.4,74.5,1,1,DO-Nilai
1179701068,84.0,66.7,3,4,Non-Dropout
1548806583,66.2,70.8,2,4,Non-Dropout
1842749427,89.6,75.6,7,3,Non-Dropout
1865212586,58.9,64.8,14,1,DO-Masalah
1476866812,69.7,65.8,16,2,DO-Masalah
1220435506,73.6,75.4,7,4,Non-Dropout
1283367486,55.5,85.5,12,2,DO-Masalah
1803778356,88.9,73.5,6,4,Non-Dropout
1914239839,98.3,61.3,2,3,Non-Dropout
1793415185,65.6,51.8,14,1,DO-Masalah
1447575530,86.6,79.3,3,3,Non-Dropout
1502537459,80.6,59.9,14,1,DO-Masalah
1601696140,68.6,38.5,0,2,Non-Dropout
1570190251,74.0,72.2,0,3,Non-Dropout
1672137360,71.8,75.7,5,1,Non-Dropout
1665509235,77.6,69.3,4,3,Non-Dropout
1824484873,67.5,70.5,0,1,DO-Nilai
1678277552,49.3,79.3,6,1,DO-Nilai
1891776139,77.4,58.0,5,3,Non-Dropout
1821457170,81.9,76.7,2,3,Non-Dropout
1650621024,85.4,83.4,3,3,Non-Dropout
1825638985,65.9,94.9,1,2,Non-Dropout
1308704700,70.1,47.3,16,1,DO-Masalah
1215053957,93.8,70.3,5,3,Non-Dropout
1793746814,92.7,85.5,2,4,Non-Dropout
1022138150,62.0,71.5,6,4,Non-Dropout
1112905579,67.3,66.1,15,2,DO-Masalah
1865840373,77.1,73.6,0,3,Non-Dropout
1330176774,81.5,95.0,0,4,Non-Dropout
1081144246,73.8,71.7,14,1,DO-Masalah
1623318925,48.0,40.1,11,1,DO-Nilai
1034317726,77.8,79.3,6,2,Non-Dropout
1062612324,73.4,82.8,0,3,Non-Dropout
1447506547,76.8,62.0,4,1,Non-Dropout
1321822394,58.5,77.4,4,2,Non-Dropout
1396453898,93.0,86.8,8,3,Non-Dropout
1598319786,99.0,73.1,2,3,Non-Dropout
1672591519,56.5,91.5,12,1,DO-Masalah
1763340128,48.0,61.1,9,1,DO-Nilai
1631372384,82.3,70.9,0,4,Non-Dropout
1617307579,68.6,72.3,0,3,Non-Dropout
